Dates,PX_LAST
05/09/2016,1.3304
06/09/2016,1.344
07/09/2016,1.3341
08/09/2016,1.3295
09/09/2016,1.3267
12/09/2016,1.3337
13/09/2016,1.3193
14/09/2016,1.3235
15/09/2016,1.3239
16/09/2016,1.3002
19/09/2016,1.303
20/09/2016,1.2988
21/09/2016,1.3032
22/09/2016,1.3078
23/09/2016,1.2966
26/09/2016,1.2975
27/09/2016,1.3023
28/09/2016,1.3019
29/09/2016,1.2968
30/09/2016,1.2972
03/10/2016,1.2842
04/10/2016,1.2728
05/10/2016,1.2749
06/10/2016,1.2616
07/10/2016,1.2434
10/10/2016,1.2362
11/10/2016,1.2123
12/10/2016,1.2204
13/10/2016,1.2254
14/10/2016,1.2191
17/10/2016,1.2183
18/10/2016,1.2298
19/10/2016,1.2285
20/10/2016,1.2254
21/10/2016,1.2234
24/10/2016,1.2238
25/10/2016,1.2188
26/10/2016,1.2247
27/10/2016,1.2164
28/10/2016,1.2185
31/10/2016,1.2242
01/11/2016,1.2243
02/11/2016,1.2304
03/11/2016,1.2461
04/11/2016,1.2517
07/11/2016,1.2396
08/11/2016,1.2379
09/11/2016,1.2406
10/11/2016,1.2555
11/11/2016,1.2596
14/11/2016,1.249
15/11/2016,1.2457
16/11/2016,1.2443
17/11/2016,1.2417
18/11/2016,1.2342
21/11/2016,1.2494
22/11/2016,1.2423
23/11/2016,1.2443
24/11/2016,1.2451
25/11/2016,1.2477
28/11/2016,1.2416
29/11/2016,1.2493
30/11/2016,1.2506
01/12/2016,1.2591
02/12/2016,1.2729
05/12/2016,1.2732
06/12/2016,1.2678
07/12/2016,1.2626
08/12/2016,1.2586
09/12/2016,1.2572
12/12/2016,1.2679
13/12/2016,1.2658
14/12/2016,1.2564
15/12/2016,1.2418
16/12/2016,1.2496
19/12/2016,1.2395
20/12/2016,1.2368
21/12/2016,1.2353
22/12/2016,1.2283
23/12/2016,1.2282
26/12/2016,1.2282
27/12/2016,1.2271
28/12/2016,1.2226
29/12/2016,1.2261
30/12/2016,1.234
