Dates,Close,RV
03/09/2017,29.8086,9.64E-07
04/09/2017,372.8847,1.46E-05
05/09/2017,373.5814,1.69E-05
06/09/2017,375.6435,1.38E-05
07/09/2017,376.4609,1.76E-05
08/09/2017,347.5093,2.28E-05
10/09/2017,63.3214,5.73E-06
11/09/2017,379.7139,1.20E-05
12/09/2017,238.9174,3.34E-05
13/09/2017,381.9318,1.80E-05
14/09/2017,382.8367,6.11E-05
15/09/2017,356.4363,6.31E-05
17/09/2017,62.4638,6.52E-06
18/09/2017,390.1141,4.75E-05
19/09/2017,389.2356,3.42E-05
20/09/2017,389.6383,8.20E-05
21/09/2017,389.4287,2.70E-05
22/09/2017,357.926,6.22E-05
24/09/2017,66.1433,2.49E-05
25/09/2017,388.9376,3.20E-05
26/09/2017,387.6521,2.98E-05
27/09/2017,386.2356,2.67E-05
28/09/2017,386.2224,2.92E-05
29/09/2017,353.8386,3.12E-05
01/10/2017,80.3398,1.68E-05
02/10/2017,383.5119,2.11E-05
03/10/2017,381.6568,2.02E-05
04/10/2017,381.9786,2.45E-05
05/10/2017,379.5188,2.43E-05
06/10/2017,345.1722,3.12E-05
08/10/2017,78.5376,8.47E-06
09/10/2017,378.0547,1.65E-05
10/10/2017,379.7195,1.53E-05
11/10/2017,380.3209,1.62E-05
12/10/2017,381.0275,5.68E-05
13/10/2017,350.8338,3.44E-05
15/10/2017,73.1749,5.89E-06
16/10/2017,382.4722,2.65E-05
17/10/2017,380.7163,1.94E-05
18/10/2017,379.7536,2.92E-05
19/10/2017,379.6673,2.56E-05
20/10/2017,347.3018,2.67E-05
22/10/2017,77.8117,8.05E-06
23/10/2017,379.9102,1.67E-05
24/10/2017,379.3667,1.83E-05
25/10/2017,380.1737,3.88E-05
26/10/2017,380.5931,2.93E-05
27/10/2017,346.2088,2.56E-05
29/10/2017,89.3113,8.05E-06
30/10/2017,379.4184,1.63E-05
31/10/2017,381.2622,1.88E-05
01/11/2017,382.3317,2.92E-05
02/11/2017,379.3262,0.000132245
03/11/2017,329.3972,2.44E-05
05/11/2017,69.3204,5.22E-06
06/11/2017,377.6859,1.58E-05
07/11/2017,378.8744,1.39E-05
08/11/2017,378.1963,1.51E-05
09/11/2017,378.0825,1.86E-05
10/11/2017,347.6934,1.85E-05
12/11/2017,71.1634,1.44E-05
13/11/2017,377.5002,2.05E-05
14/11/2017,378.0635,2.72E-05
15/11/2017,379.1,2.84E-05
16/11/2017,379.6858,2.06E-05
17/11/2017,349.0174,2.59E-05
19/11/2017,70.0533,5.01E-06
20/11/2017,381.0758,1.94E-05
21/11/2017,381.4068,1.64E-05
22/11/2017,382.2259,1.67E-05
23/11/2017,383.4202,1.08E-05
24/11/2017,351.6093,1.52E-05
26/11/2017,86.7118,1.07E-05
