Dates,PX_LAST
05/09/2016,7.57
06/09/2016,7.80
07/09/2016,7.74
08/09/2016,8.24
09/09/2016,7.98
12/09/2016,9.26
13/09/2016,9.37
14/09/2016,9.15
15/09/2016,8.69
16/09/2016,10.23
19/09/2016,9.49
20/09/2016,10.18
21/09/2016,8.43
22/09/2016,7.86
23/09/2016,8.67
26/09/2016,9.10
27/09/2016,9.01
28/09/2016,8.81
29/09/2016,8.79
30/09/2016,8.99
03/10/2016,9.66
04/10/2016,10.10
05/10/2016,9.57
06/10/2016,10.00
07/10/2016,13.84
10/10/2016,11.56
11/10/2016,14.59
12/10/2016,14.33
13/10/2016,13.95
14/10/2016,13.89
17/10/2016,13.43
18/10/2016,12.25
19/10/2016,11.31
20/10/2016,10.01
21/10/2016,9.93
24/10/2016,9.88
25/10/2016,10.42
26/10/2016,10.20
27/10/2016,11.59
28/10/2016,12.10
31/10/2016,11.86
01/11/2016,11.61
02/11/2016,14.74
03/11/2016,13.97
04/11/2016,14.06
07/11/2016,12.03
08/11/2016,11.32
09/11/2016,10.20
10/11/2016,10.50
11/11/2016,10.80
14/11/2016,10.63
15/11/2016,9.56
16/11/2016,9.60
17/11/2016,9.19
18/11/2016,9.50
21/11/2016,9.33
22/11/2016,9.53
23/11/2016,9.26
24/11/2016,9.21
25/11/2016,9.49
28/11/2016,10.06
29/11/2016,10.04
30/11/2016,10.71
01/12/2016,11.73
02/12/2016,10.60
05/12/2016,10.04
06/12/2016,9.76
07/12/2016,10.36
08/12/2016,11.43
09/12/2016,11.48
12/12/2016,10.91
13/12/2016,10.50
14/12/2016,9.61
15/12/2016,10.40
16/12/2016,9.75
19/12/2016,9.60
20/12/2016,8.89
21/12/2016,8.53
22/12/2016,7.83
23/12/2016,8.59
26/12/2016,8.57
27/12/2016,8.73
28/12/2016,9.10
29/12/2016,9.23
30/12/2016,10.11
02/01/2017,10.47
03/01/2017,10.62
04/01/2017,10.42
05/01/2017,10.54
06/01/2017,10.31
09/01/2017,10.93
10/01/2017,10.66
11/01/2017,11.70
12/01/2017,13.46
13/01/2017,14.42
16/01/2017,15.95
17/01/2017,11.82
18/01/2017,11.09
19/01/2017,10.85
20/01/2017,10.81
23/01/2017,10.48
24/01/2017,9.68
25/01/2017,9.70
26/01/2017,11.08
27/01/2017,11.85
30/01/2017,11.59
31/01/2017,11.38
01/02/2017,11.07
02/02/2017,10.84
03/02/2017,10.13
06/02/2017,10.14
07/02/2017,10.19
08/02/2017,10.46
09/02/2017,10.00
10/02/2017,9.98
13/02/2017,9.84
14/02/2017,9.25
15/02/2017,7.97
16/02/2017,8.14
17/02/2017,8.11
20/02/2017,8.06
21/02/2017,8.28
22/02/2017,8.59
23/02/2017,8.51
24/02/2017,7.97
27/02/2017,8.22
28/02/2017,8.03
01/03/2017,8.12
02/03/2017,8.43
03/03/2017,8.19
06/03/2017,7.84
07/03/2017,8.25
08/03/2017,8.73
09/03/2017,9.63
10/03/2017,9.98
13/03/2017,9.98
14/03/2017,10.28
15/03/2017,8.70
16/03/2017,8.14
17/03/2017,8.08
20/03/2017,8.34
21/03/2017,8.46
22/03/2017,8.90
23/03/2017,8.70
24/03/2017,8.14
27/03/2017,8.57
28/03/2017,8.96
29/03/2017,8.86
30/03/2017,8.53
31/03/2017,8.40
03/04/2017,8.03
04/04/2017,8.38
05/04/2017,8.27
06/04/2017,8.01
07/04/2017,7.41
10/04/2017,6.91
11/04/2017,6.63
12/04/2017,6.57
13/04/2017,6.38
14/04/2017,6.71
17/04/2017,8.85
18/04/2017,9.63
19/04/2017,9.48
20/04/2017,9.62
21/04/2017,10.07
24/04/2017,7.61
25/04/2017,7.40
26/04/2017,7.60
27/04/2017,7.77
28/04/2017,7.48
01/05/2017,8.06
02/05/2017,7.65
03/05/2017,7.67
04/05/2017,7.80
05/05/2017,7.46
08/05/2017,6.73
09/05/2017,6.70
10/05/2017,7.58
11/05/2017,6.71
12/05/2017,6.12
15/05/2017,6.64
16/05/2017,7.17
17/05/2017,7.13
18/05/2017,7.47
19/05/2017,7.90
22/05/2017,7.44
23/05/2017,7.05
24/05/2017,6.89
25/05/2017,6.43
26/05/2017,8.18
29/05/2017,8.15
30/05/2017,7.79
31/05/2017,8.65
01/06/2017,9.08
02/06/2017,13.68
05/06/2017,13.26
06/06/2017,13.31
07/06/2017,13.99
08/06/2017,14.11
09/06/2017,9.63
12/06/2017,9.32
13/06/2017,8.99
14/06/2017,8.00
15/06/2017,7.63
16/06/2017,7.63
19/06/2017,7.91
20/06/2017,7.72
21/06/2017,7.82
22/06/2017,7.25
23/06/2017,7.20
26/06/2017,6.77
27/06/2017,7.03
28/06/2017,7.84
29/06/2017,7.47
30/06/2017,7.23
03/07/2017,7.40
04/07/2017,7.30
05/07/2017,7.67
06/07/2017,7.37
07/07/2017,7.01
10/07/2017,6.70
11/07/2017,7.13
12/07/2017,6.88
13/07/2017,6.71
14/07/2017,6.67
17/07/2017,6.48
18/07/2017,7.06
19/07/2017,6.69
20/07/2017,6.98
21/07/2017,6.71
24/07/2017,6.56
25/07/2017,6.76
26/07/2017,6.56
27/07/2017,7.51
28/07/2017,7.57
31/07/2017,7.55
01/08/2017,7.95
02/08/2017,8.24
03/08/2017,7.02
04/08/2017,6.85
07/08/2017,6.75
08/08/2017,7.02
09/08/2017,7.37
10/08/2017,7.28
11/08/2017,7.27
14/08/2017,6.86
15/08/2017,7.32
16/08/2017,6.74
17/08/2017,6.51
18/08/2017,6.58
21/08/2017,6.90
22/08/2017,6.63
23/08/2017,6.90
24/08/2017,6.79
25/08/2017,6.60
28/08/2017,6.56
29/08/2017,6.48
30/08/2017,6.37
31/08/2017,6.52
01/09/2017,6.17
04/09/2017,6.43
05/09/2017,6.75
06/09/2017,6.64
07/09/2017,7.41
08/09/2017,8.30
11/09/2017,7.92
12/09/2017,8.18
13/09/2017,9.41
14/09/2017,9.80
15/09/2017,11.32
18/09/2017,11.48
19/09/2017,10.92
20/09/2017,9.83
21/09/2017,10.02
22/09/2017,8.68
25/09/2017,8.43
26/09/2017,7.92
27/09/2017,7.80
28/09/2017,7.86
29/09/2017,7.69
02/10/2017,7.56
03/10/2017,7.51
04/10/2017,7.28
05/10/2017,8.18
06/10/2017,9.21
09/10/2017,7.88
10/10/2017,8.15
11/10/2017,8.27
12/10/2017,8.53
13/10/2017,8.73
